"State","Year","Price","Region"
"Alaska","2015",15245.172556,"Other"
"Alaska","2016",15074.61061,"Other"
"Alaska","2017",14858.585506,"Other"
"Alaska","2018",14951.53816,"Other"
"Alaska","2019",15098.466811,"Other"
"Alaska","2020",15417.148626,"Other"
"Alaska","2021",16656.630481,"Other"
"Alaska","2022",18427.928401,"Other"
"Alabama","2015",10439.7851486167,"Other"
"Alabama","2016",10801.19848825,"Other"
"Alabama","2017",11236.8819390875,"Other"
"Alabama","2018",11602.622322125,"Other"
"Alabama","2019",12115.5966620375,"Other"
"Alabama","2020",12652.2880560833,"Other"
"Alabama","2021",13587.0511369222,"Other"
"Alabama","2022",14864.6371636028,"Other"
"Arkansas","2015",9719.36187671667,"Other"
"Arkansas","2016",10025.83554185,"Other"
"Arkansas","2017",10346.543783425,"Other"
"Arkansas","2018",10551.838722925,"Other"
"Arkansas","2019",10863.568787575,"Other"
"Arkansas","2020",11290.44015365,"Other"
"Arkansas","2021",12278.6588064,"Other"
"Arkansas","2022",13367.5541997,"Other"
"Arizona","2015",11007.701551675,"Other"
"Arizona","2016",11564.053394725,"Other"
"Arizona","2017",12276.695952825,"Other"
"Arizona","2018",13930.55344162,"Other"
"Arizona","2019",14874.6464222,"Other"
"Arizona","2020",15859.9750762,"Other"
"Arizona","2021",18282.5439453333,"Other"
"Arizona","2022",19311.488783881,"Other"
"California","2015",18417.1781320256,"Other"
"California","2016",19227.8949841379,"Other"
"California","2017",20424.7645874579,"Other"
"California","2018",21509.6912470087,"Other"
"California","2019",22463.4615513478,"Other"
"California","2020",23183.5081615237,"Other"
"California","2021",25319.2550027391,"Other"
"California","2022",27084.5625798298,"Other"
"Colorado","2015",13998.757878039,"Other"
"Colorado","2016",15440.1968329661,"Other"
"Colorado","2017",16377.9557549304,"Other"
"Colorado","2018",17425.544086175,"Other"
"Colorado","2019",18344.52488115,"Other"
"Colorado","2020",19142.379957875,"Other"
"Colorado","2021",21035.6804886667,"Other"
"Colorado","2022",23817.8526028889,"Other"
"Connecticut","2015",13926.51551204,"Other"
"Connecticut","2016",14255.73326848,"Other"
"Connecticut","2017",14651.45630282,"Other"
"Connecticut","2018",15109.87824876,"Other"
"Connecticut","2019",15608.19614352,"Other"
"Connecticut","2020",16483.14714694,"Other"
"Connecticut","2021",18171.1158542,"Other"
"Connecticut","2022",20087.5859098,"Other"
"District of Columbia","2015",20662.771686,"Other"
"District of Columbia","2016",21024.608197,"Other"
"District of Columbia","2017",21503.376369,"Other"
"District of Columbia","2018",22007.888264,"Other"
"District of Columbia","2019",22694.089488,"Other"
"District of Columbia","2020",22809.162686,"Other"
"District of Columbia","2021",23491.783218,"Other"
"District of Columbia","2022",25585.594622,"Other"
"Delaware","2015",13493.9223925,"Other"
"Delaware","2016",13764.8127055,"Other"
"Delaware","2017",14049.416222,"Other"
"Delaware","2018",14477.4230665,"Other"
"Delaware","2019",14953.1022795,"Other"
"Delaware","2020",15647.3285645,"Other"
"Delaware","2021",17902.3601225,"Other"
"Delaware","2022",19748.7007505,"Other"
"Florida","2015",13002.2251294842,"Other"
"Florida","2016",13521.6071518358,"Other"
"Florida","2017",14267.1322720136,"Other"
"Florida","2018",15341.0597798669,"Other"
"Florida","2019",16188.2139833636,"Other"
"Florida","2020",16875.4163200273,"Other"
"Florida","2021",19435.0822088961,"Other"
"Florida","2022",22760.5106061304,"Other"
"Georgia","2015",10919.9618294661,"Other"
"Georgia","2016",11101.5500154139,"Other"
"Georgia","2017",11092.1655692,"Other"
"Georgia","2018",11626.32269229,"Other"
"Georgia","2019",12228.75399587,"Other"
"Georgia","2020",12850.6968613155,"Other"
"Georgia","2021",14427.8960578518,"Other"
"Georgia","2022",16408.8172204989,"Other"
"Hawaii","2015",24255.658555,"Other"
"Hawaii","2016",24734.673993,"Other"
"Hawaii","2017",25243.704631,"Other"
"Hawaii","2018",25688.005107,"Other"
"Hawaii","2019",26324.80931,"Other"
"Hawaii","2020",26439.086774,"Other"
"Hawaii","2021",29123.2060478333,"Other"
"Hawaii","2022",30645.1859586667,"Other"
"Iowa","2015",10500.8403470333,"Other"
"Iowa","2016",10679.676991675,"Other"
"Iowa","2017",10865.200663525,"Other"
"Iowa","2018",10949.71980366,"Other"
"Iowa","2019",11150.04045952,"Other"
"Iowa","2020",11378.7122041,"Other"
"Iowa","2021",11831.70961223,"Other"
"Iowa","2022",12358.7116713738,"Other"
"Idaho","2015",9331.77089465,"Other"
"Idaho","2016",9866.2163759,"Other"
"Idaho","2017",11121.4383409167,"Other"
"Idaho","2018",12030.6479432,"Other"
"Idaho","2019",12922.1668711667,"Other"
"Idaho","2020",13940.706921,"Other"
"Idaho","2021",15481.812973025,"Other"
"Idaho","2022",16365.2881565,"Other"
"Illinois","2015",10687.719615195,"Other"
"Illinois","2016",10537.3607446905,"Other"
"Illinois","2017",10382.31217105,"Other"
"Illinois","2018",10282.6762357625,"Other"
"Illinois","2019",10601.430723225,"Other"
"Illinois","2020",10921.0947463375,"Other"
"Illinois","2021",11648.6741239611,"Other"
"Illinois","2022",12471.21151014,"Other"
"Indiana","2015",9382.76036509333,"Other"
"Indiana","2016",9652.69092115,"Other"
"Indiana","2017",9630.98544155298,"Other"
"Indiana","2018",9837.25463080278,"Other"
"Indiana","2019",10336.3547946778,"Other"
"Indiana","2020",10778.8172212111,"Other"
"Indiana","2021",11369.8259615673,"Other"
"Indiana","2022",12473.1058487845,"Other"
"Kansas","2015",9243.69979633333,"Other"
"Kansas","2016",9375.35310443333,"Other"
"Kansas","2017",9476.410736995,"Other"
