"Year","State","Price_per_1000ft3","Price","Region"
2017,"Rhode.Island",14.02,841.2,"Other"
2017,"South.Carolina",14.47,868.2,"Other"
2017,"South.Dakota",8.18,490.8,"Other"
2017,"Tennessee",10.31,618.6,"South"
2017,"Texas",13.61,816.6,"South"
2017,"Utah",9.05,543,"West"
2017,"Vermont",14.12,847.2,"Northeast"
2017,"Virginia",12.34,740.4,"South"
2017,"Washington",10.62,637.2,"West"
2017,"West.Virginia",9.43,565.8,"Other"
2017,"Wisconsin",8.4,504,"Midwest"
2017,"Wyoming",9.01,540.6,"West"
2018,"Alabama",15.22,913.2,"South"
2018,"Alaska",10.99,659.4,"West"
2018,"Arizona",15.35,921,"West"
2018,"Arkansas",11.77,706.2,"South"
2018,"California",12.3,738,"West"
2018,"Colorado",7.74,464.4,"West"
2018,"Connecticut",13.92,835.2,"Northeast"
2018,"Delaware",12.6,756,"South"
2018,"District.of.Columbia",11.78,706.8,"Other"
2018,"Florida",21.34,1280.4,"South"
2018,"Georgia",13.98,838.8,"South"
2018,"Hawaii",43.48,2608.8,"West"
2018,"Idaho",7.11,426.6,"West"
2018,"Illinois",8.15,489,"Midwest"
2018,"Indiana",8.72,523.2,"Midwest"
2018,"Iowa",8.94,536.4,"Midwest"
2018,"Kansas",10.18,610.8,"Midwest"
2018,"Kentucky",10.56,633.6,"South"
2018,"Louisiana",11.65,699,"South"
2018,"Maine",16.32,979.2,"Northeast"
2018,"Maryland",11.79,707.4,"South"
2018,"Massachusetts",15.47,928.2,"Northeast"
2018,"Michigan",8.19,491.4,"Midwest"
2018,"Minnesota",8.69,521.4,"Midwest"
2018,"Mississippi",10.44,626.4,"South"
2018,"Missouri",10.37,622.2,"Midwest"
2018,"Montana",7.32,439.2,"West"
2018,"Nebraska",8.54,512.4,"Midwest"
2018,"Nevada",9.24,554.4,"West"
2018,"New.Hampshire",15.35,921,"Other"
2018,"New.Jersey",9.09,545.4,"Other"
2018,"New.Mexico",7.89,473.4,"Other"
2018,"New.York",12.37,742.2,"Other"
2018,"North.Carolina",12.11,726.6,"Other"
2018,"North.Dakota",7.2,432,"Other"
2018,"Ohio",9.1,546,"Midwest"
2018,"Oklahoma",9.25,555,"South"
2018,"Oregon",10.65,639,"West"
2018,"Pennsylvania",11.25,675,"Northeast"
2018,"Rhode.Island",15.65,939,"Other"
2018,"South.Carolina",13.46,807.6,"Other"
2018,"South.Dakota",7.66,459.6,"Other"
2018,"Tennessee",9.46,567.6,"South"
2018,"Texas",11.42,685.2,"South"
2018,"Utah",9.04,542.4,"West"
2018,"Vermont",13.65,819,"Northeast"
2018,"Virginia",11.71,702.6,"South"
2018,"Washington",10.28,616.8,"West"
2018,"West.Virginia",9.84,590.4,"Other"
