"State","Year","electricity","auto","ng","food","house_own","house_rent","rPCE"
"Oklahoma",2019,1089.78,1117.75,564,3337.04805194805,9454.915147425,10938.6296034667,38025
"Oklahoma",2020,1071.7056,1087.42,546.6,3465.03506493506,9285.55765095,11389.9918428,37118
"Oklahoma",2021,1322.6208,1094.21,618.6,3854.68441558442,9960.940535,12467.434176325,39846
"Oklahoma",2022,1352.3904,1172.21,886.8,4317.57077922078,13166.04770335,13296.8078692474,41080
"Texas",2015,1241.8176,1109.66,638.4,2836.05,10892.221447648,11802.8849582476,37716
"Texas",2016,1172.7096,1194.3,703.8,2923.65,11237.4498717398,12076.6090150366,38150
"Texas",2017,1187.5944,1295.93,816.6,2967.45,12001.1561905923,12378.8371027561,39098
"Texas",2018,1209.9216,1372.52,685.2,2890.8,13041.1591058385,13030.7127815609,39554
"Texas",2019,1256.7024,1370.28,636.6,3153.29822834646,17105.9483272808,13502.0056217072,39775
"Texas",2020,1268.3976,1302.63,698.4,3209.08287401575,12585.9386950962,13684.247226175,38959
"Texas",2021,1274.7768,1343.03,826.2,3555.94783464567,13757.5847572462,14588.9550366652,42545
"Texas",2022,1420.4352,1470.12,991.2,3908.97755905512,18450.6388527538,15840.1834322979,43897
"Arizona",2015,1314.1152,991.55,1022.4,3076.95,11497.4518388833,11007.701551675,36763
"Arizona",2016,1309.8624,1043.26,916.8,3142.65,11907.2557043667,11564.053394725,37019
"Arizona",2017,1332.1896,1125.54,946.8,3164.55,12980.90173705,12276.695952825,38511
"Arizona",2018,1370.4648,1183.69,921,3208.35,14449.2770497333,13930.55344162,39580
"Arizona",2019,1343.8848,1201.08,807.6,3428.81,14526.9577841333,14874.6464222,40082
"Arizona",2020,1324.7472,1169.15,786,3515.68,14510.0379308833,15859.9750762,39131
"Arizona",2021,1335.3792,1199.88,931.2,3855.86,16869.7518511167,18282.5439453333,43859
"Arizona",2022,1387.476,1286.72,1068.6,4251.52,24837.9068748333,19311.488783881,43703
"Colorado",2015,1284.3456,990.16,496.2,3383.55,15732.1900117286,13998.757878039,40761
"Colorado",2016,1279.0296,1074,441,3493.05,17073.9308435,15440.1968329661,41892
"Colorado",2017,1294.9776,1194.7,484.8,3547.8,19097.7210952857,16377.9557549304,43014
"Colorado",2018,1292.8512,1290.63,464.4,3602.55,21492.5395204857,17425.544086175,45062
"Colorado",2019,1314.1152,1338.84,466.2,3785.278125,21324.1832503857,18344.52488115,45363
"Colorado",2020,1325.8104,1329.96,433.2,3930.19453125,21066.0282872857,19142.379957875,43664
"Colorado",2021,1386.4128,1347.92,546.6,4305.403125,23401.3798061429,21035.6804886667,48502
"Colorado",2022,1517.1864,1446.48,763.2,4765.13203125,33555.669676,23817.8526028889,50608
"Idaho",2015,1073.832,696.09,515.4,3197.4,10879.9233906333,9331.77089465,33297
"Idaho",2016,1071.7056,731.46,488.4,3208.35,11293.39963125,9866.2163759,34563
"Idaho",2017,1075.9584,780.46,459,3219.3,12667.0969055,11121.4383409167,34595
"Idaho",2018,1097.2224,828.28,426.6,3328.8,14503.34724935,12030.6479432,36290
"Idaho",2019,1060.0104,849.71,390,3574.92613636364,15014.9464644667,12922.1668711667,36265
"Idaho",2020,1067.4528,832.94,403.8,4027.11136363636,15388.3641106667,13940.706921,36465
"Idaho",2021,1080.2112,848.21,420,4435.24772727273,18950.9141868333,15481.812973025,39923
"Idaho",2022,1111.044,880.12,478.2,4902.61363636364,27335.8261868333,16365.2881565,41238
"Montana",2015,1173.7728,871.08,492.6,3131.7,14957.77970352,9617.78529935,41124
"Montana",2016,1180.152,902.32,436.2,3186.45,15790.6841888,9861.2664395,41579
"Montana",2017,1183.3416,969.19,457.2,3241.2,16889.53979916,10060.9326540667,42106
"Montana",2018,1192.9104,1025.48,439.2,3306.9,18717.6999862,10221.8736921333,44104
"Montana",2019,1210.9848,1039.97,425.4,3536.06785714286,18544.2350686,10594.8456022333,43682
"Montana",2020,1232.2488,1031.5,433.2,3632.85803571429,18238.3403518,11153.9247079,43840
"Montana",2021,1196.1,1035.76,531.6,4097.45089285714,21322.0300614,15540.80147095,48458
"Montana",2022,1192.9104,1079.53,625.2,4557.35089285714,30590.4224022,19511.9203078,50213
"Nevada",2015,1360.896,1118.5,709.2,3263.1,13402.3311876667,12313.5544515,37839
"Nevada",2016,1213.1112,1169.76,613.8,3295.95,14578.5201693333,13088.8392665,39104
"Nevada",2017,1267.3344,1258.79,529.2,3339.75,16288.2260956667,14125.1719705,39088
"Nevada",2018,1260.9552,1387.58,554.4,3449.25,19065.1218926667,15394.627743,41377
"Nevada",2019,1277.9664,1419.65,570,3625.73823529412,19228.5779146667,16342.302357,40853
"Nevada",2020,1146.1296,1365.05,621.6,3749.40882352941,18458.9497246667,17039.406599,40067
"Nevada",2021,1209.9216,1381.12,583.2,4088.85882352941,21249.8677266667,19181.5651656667,44689
"Nevada",2022,1447.0152,1420.51,763.2,4524.28235294118,30773.6691016667,20476.9329773667,45857
"New Mexico",2015,1354.5168,956.08,517.8,3055.05,23724.54094,10484.42302775,34782
"New Mexico",2016,1284.3456,984.18,483,3131.7,12241.12970205,11712.9693346333,35436
"New Mexico",2017,1383.2232,1050.73,553.2,3142.65,13106.318684975,12391.9716546,35365
"New Mexico",2018,1368.3384,1102.29,473.4,3186.45,14168.4183818,12974.2248771,37805
"New Mexico",2019,1353.4536,1122.73,384,3458.54090909091,14172.62579785,13762.1435790333,37156
"New Mexico",2020,1401.2976,1088.32,422.4,3569.36818181818,14064.0729839,14413.1696685333,36528
"New Mexico",2021,1453.3944,1072.62,586.2,3936.69090909091,15432.560992975,16035.4800603333,40991
"New Mexico",2022,1506.5544,1148.99,750.6,4337.52727272727,21631.54933285,16595.2013030967,41481
"Utah",2015,1174.836,879.85,583.2,3055.05,13704.78028256,11972.5790945,33316
"Utah",2016,1185.468,916.7,547.2,3087.9,14540.087492,12706.896210975,34595
"Utah",2017,1185.468,984.12,543,3076.95,16235.5077196,13528.465417225,34864
"Utah",2018,1132.308,1038.39,542.4,3186.45,18585.7760758,14341.8922655,37035
"Utah",2019,1128.0552,1051.23,469.2,3512.68448275862,18956.0856468,16887.4099562,37497
"Utah",2020,1134.4344,1028.38,489,3490.02931034483,18979.2206996,17930.2482468,38302
"Utah",2021,1121.676,1047.21,539.4,3922.36551724138,22657.3036912,20664.2170556,42593
"Utah",2022,1169.52,1128.96,628.8,4387.92931034483,33449.06281,21588.1512630238,44222
"Wyoming",2015,1171.6464,866.85,559.8,3295.95,13817.954243,11269.7312457,42024
"Wyoming",2016,1193.9736,895.15,510.6,3350.7,13860.684278,11548.23799955,42105
"Wyoming",2017,1219.4904,935.76,540.6,3339.75,14393.968804,11352.26909735,42673
"Wyoming",2018,1218.4272,971.07,516,3416.4,15400.0697005,11546.0477727,45513
"Wyoming",2019,1202.4792,985.35,483.6,3653.49130434783,15370.7838505,12103.1340189,45078
"Wyoming",2020,1197.1632,977.46,530.4,3758.23043478261,15365.209424,11915.5051692667,46214
"Wyoming",2021,1201.416,998.47,602.4,4157.19130434783,16103.790253,12048.743336725,49425
"Wyoming",2022,1191.8472,1057.15,804,4593.28695652174,21325.617422,13047.988603275,50560
"California",2015,1803.1872,986.38,683.4,3438.3,22573.2503536769,18417.1781320256,38038
"California",2016,1838.2728,1044.57,710.4,3460.2,23863.7724241077,19227.8949841379,39332
"California",2017,1931.8344,1115.73,749.4,3504,26209.9903525,20424.7645874579,40066
"California",2018,2007.3216,1189.68,738,3591.6,29855.0737511923,21509.6912470087,41087
"California",2019,2036.028,1219.43,777,3907.07327586207,29208.2038659231,22463.4615513478,42669
"California",2020,2167.8648,1216.72,848.4,4191.58448275862,28247.5025655769,23183.5081615237,40808
"California",2021,2417.7168,1212.81,980.4,4521.9724137931,31576.8486180769,25319.2550027391,45189
"California",2022,2804.7216,1249.83,1209,4954.30862068966,44330.4414297308,27084.5625798298,46501
"Oregon",2015,1136.5608,906.59,749.4,3186.45,15799.4355165625,12709.33095218,37448
"Oregon",2016,1129.1184,964.88,700.2,3208.35,16827.846782125,14061.372006,38675
"Oregon",2017,1140.8136,1043.93,635.4,3252.15,18892.23623675,14951.5922321667,39112
"Oregon",2018,1164.204,1077.2,639,3427.35,21185.11028,15638.318319,38945
"Oregon",2019,1169.52,1077.93,598.2,3746.11666666667,20955.229241125,16378.6996138333,39864
"Oregon",2020,1183.3416,1030.37,654.6,3948.99583333333,20612.500976,17109.8036878333,39083
"Oregon",2021,1206.732,1024.86,705.6,4390.0375,23387.055763,18573.7951562857,42443
"Oregon",2022,1209.9216,1088.03,769.8,4733.1375,32443.48009325,20142.0077956944,42431
"Washington",2015,949.4376,969.81,708.6,3263.1,14843.3273612818,12537.9691411571,40039
"Washington",2016,998.3448,1016.31,646.8,3295.95,15821.4884509364,13173.98699235,40419
"Washington",2017,1019.6088,1077.65,637.2,3328.8,17885.6385019455,14201.8546349875,40699
"Washington",2018,1029.1776,1120.23,616.8,3525.9,20434.3266498182,15160.7827125819,41913
"Washington",2019,1024.9248,1154.97,589.2,3755.56923076923,20614.8301583636,16035.9487166444,42307
"Washington",2020,1035.5568,1115.8,658.2,4040.83076923077,20900.3445457273,16867.3254541111,40951
"Washington",2021,1072.7688,1110,697.8,4302.22692307692,23839.4320022727,18641.7498652556,44185
"Washington",2022,1089.78,1125.17,769.8,4721.13461538462,33331.8509296364,19287.5979544634,44700
"Alaska",2015,2145.5376,1061.26,578.4,3733.95,16897.20066,15245.172556,44777
"Alaska",2016,2187.0024,1053.48,588.6,3766.8,17292.691122,15074.61061,44682
"Alaska",2017,2289.0696,1072.19,631.2,3690.15,17976.8069405,14858.585506,44892
"Alaska",2018,2349.672,1111.08,659.4,3942,19301.2977895,14951.53816,45837
"Alaska",2019,2434.728,1141.81,666.6,4365.27413793103,19215.0651035,15098.466811,47049
"Alaska",2020,2445.36,1112.74,668.4,4533.665,18485.3164395,15417.148626,45108
"Alaska",2021,2406.0216,1119.22,656.4,5105.255,18750.8795765,16656.630481,47392
"Alaska",2022,2460.2448,1154.57,664.8,5590.705,24865.8892405,18427.928401,50009
"Hawaii",2015,3206.6112,871.05,2404.8,3536.85,30485.1089455,24255.658555,36445
"Hawaii",2016,2906.7888,893.52,2188.8,3580.65,31157.895046,24734.673993,37257
"Hawaii",2017,3111.9864,918.13,2332.8,3613.5,34748.192437,25243.704631,38075
"Hawaii",2018,3419.2512,944.54,2608.8,3712.05,38386.853878,25688.005107,38744
"Hawaii",2019,3433.0728,955.5,2648.4,4119.39,36777.1466015,26324.80931,39659
"Hawaii",2020,3252.3288,919.4,2265,4574.91,35306.156976,26439.086774,37243
"Hawaii",2021,3501.1176,926.92,2819.4,5689.62,38317.483111,29123.2060478333,40562
"Hawaii",2022,4551.5592,951.75,3447.6,6153.9,57497.1057305,30645.1859586667,42308
