"State","Year","electricity","auto","ng","food","house_own","house_rent","rPCE"
"New Hampshire",2020,2028.5856,879.28,879.6,4193.85,21077.300762,15590.1459895,46649
"New Hampshire",2021,2085.9984,880.63,978.6,4349.34,23394.90426,17200.112297,50748
"New Hampshire",2022,2605.9032,915.15,1230.6,4772.01,31486.877401,18591.5353510833,49732
"Rhode Island",2015,2051.976,1324.62,854.4,3328.8,17504.389976,12976.025504,39258
"Rhode Island",2016,1986.0576,1393.27,828,3416.4,17703.103625,13650.636652,39827
"Rhode Island",2017,1929.708,1467.02,841.2,3536.85,19181.02338,14334.485749,40045
"Rhode Island",2018,2154.0432,1517.02,939,3701.1,21017.27191,15171.46891,40892
"Rhode Island",2019,2310.3336,1550.7,921.6,4329.63,20771.913637,15969.182492,41250
"Rhode Island",2020,2319.9024,1549.19,903.6,4570.53,20490.041107,16845.346009,40597
"Rhode Island",2021,2340.1032,1583.84,970.8,4769.82,22882.352924,18714.163205,43946
"Rhode Island",2022,2379.4416,1573.84,1090.2,5181.54,30598.253462,20915.072882,43425
"Vermont",2015,1809.5664,784.34,873.6,3712.05,18333.447075,15424.493,44363
"Vermont",2016,1838.2728,817.85,849,3712.05,18280.74718,15424.4929968,45167
"Vermont",2017,1878.6744,842.36,847.2,3701.1,21052.374669,16209.892438,44711
"Vermont",2018,1908.444,856.26,819,3832.5,22841.214355,16778.407534,46196
"Vermont",2019,1838.2728,859.35,788.4,4304.91428571429,21237.265535,17186.074282,46773
"Vermont",2020,2073.24,852.57,792.6,4430.05714285714,21091.64426,17708.641225,44244
"Vermont",2021,2036.028,846.08,840.6,4639.67142857143,23400.659177,18972.229059,47838
"Vermont",2022,2138.0952,854.05,930.6,5029.17857142857,31768.316081,21242.648087,47477
"New Jersey",2015,1703.2464,1388.5,499.2,3328.8,17954.49320275,15722.0487385,41982
"New Jersey",2016,1681.9824,1419.38,498,3460.2,17926.433427,16111.943059,42517
"New Jersey",2017,1671.3504,1464.74,548.4,3547.8,18553.9519925,16508.2157855,42742
"New Jersey",2018,1649.0232,1493.96,545.4,3657.3,19622.45129,17035.02949,42703
"New Jersey",2019,1697.9304,1504.97,583.8,3976.41428571429,19403.484586,17556.5080065,43549
"New Jersey",2020,1710.6888,1442.96,595.2,4242.86428571429,19361.201016,18287.783862,42259
"New Jersey",2021,1745.7744,1475.97,615.6,4447.78571428571,21404.45847075,20299.7735745,46861
"New Jersey",2022,1791.492,1522.89,751.8,4912.9,28930.517204,23264.9847125,47792
"New York",2015,1990.3104,1368.24,672,3350.7,12820.327195125,14970.64681356,40067
"New York",2016,1873.3584,1430.44,650.4,3383.55,12779.1032699,14667.4929474381,40649
"New York",2017,1930.7712,1485.58,722.4,3438.3,14113.113814475,15105.4393234429,41673
"New York",2018,1984.9944,1559.27,742.2,3536.85,14646.46981965,14755.2279841625,42862
"New York",2019,1913.76,1577.48,756.6,3676.72741935484,14450.8226308917,15517.0223776444,43935
"New York",2020,1945.656,1551.47,768,3944.29596774194,14310.0720138667,15958.2741358083,41561
"New York",2021,2061.5448,1624.24,826.8,4242.4185483871,15619.2625692917,17245.5900690689,44956
"New York",2022,2316.7128,1676.31,980.4,4689.07258064516,20539.2109104,18903.6118556711,47396
"Pennsylvania",2015,1421.4984,974.53,662.4,3208.35,10910.8203004944,10726.4120763833,42056
"Pennsylvania",2016,1493.796,1014.42,610.8,3295.95,10401.3749598111,10827.7262789982,42649
"Pennsylvania",2017,1524.6288,1065.44,684,3328.8,11438.1946200944,11065.9091328909,42725
